Klasyfikacja,1,0.84,0.93,0.88,0.08,0.04,0.06,0.39,0.38,0.38,0.67,0.71,0.69,0.62,0.67,0.64,
Klasyfikacja,2,0.88,0.96,0.91,0.12,0.04,0.06,0.38,0.41,0.39,0.67,0.74,0.7,0.64,0.69,0.66,
Klasyfikacja,3,0.88,0.95,0.91,0.0,0.0,0.0,0.42,0.55,0.47,0.7,0.75,0.73,0.64,0.71,0.67,
Klasyfikacja,4,0.86,0.95,0.9,0.0,0.0,0.0,0.38,0.43,0.41,0.64,0.74,0.69,0.61,0.68,0.65,
Klasyfikacja,5,0.89,0.94,0.92,0.08,0.02,0.04,0.33,0.43,0.38,0.66,0.72,0.69,0.64,0.68,0.65,
Klasyfikacja,6,0.83,0.94,0.88,0.05,0.02,0.03,0.35,0.29,0.32,0.62,0.74,0.67,0.59,0.66,0.62,
Klasyfikacja,7,0.88,0.92,0.9,0.05,0.02,0.03,0.26,0.26,0.26,0.64,0.78,0.7,0.61,0.65,0.63,
Klasyfikacja,8,0.81,0.9,0.86,0.1,0.07,0.08,0.29,0.24,0.26,0.65,0.71,0.68,0.59,0.63,0.61,
Klasyfikacja,9,0.85,0.89,0.87,0.09,0.07,0.08,0.29,0.21,0.24,0.59,0.75,0.66,0.59,0.63,0.61,
Klasyfikacja,10,0.91,0.92,0.91,0.11,0.07,0.08,0.25,0.26,0.25,0.62,0.74,0.67,0.62,0.65,0.63,
Regresja,1,0.91,0.62,0.74,0.08,0.11,0.09,0.33,0.6,0.42,0.86,0.66,0.75,0.69,0.56,0.6,
Regresja,2,0.96,0.76,0.85,0.27,0.44,0.34,0.35,0.67,0.46,1.0,0.37,0.54,0.77,0.62,0.65,
Regresja,3,0.97,0.73,0.83,0.24,0.24,0.24,0.39,0.67,0.5,0.78,0.74,0.76,0.73,0.66,0.68,
Regresja,4,0.96,0.71,0.81,0.17,0.2,0.18,0.43,0.69,0.53,0.81,0.79,0.8,0.73,0.65,0.68,
Regresja,5,0.96,0.77,0.86,0.2,0.29,0.23,0.36,0.59,0.45,0.9,0.59,0.71,0.74,0.63,0.67,
Regresja,6,0.95,0.87,0.91,0.28,0.2,0.23,0.37,0.81,0.51,0.94,0.42,0.58,0.76,0.67,0.68,
Regresja,7,0.95,0.82,0.88,0.22,0.31,0.26,0.36,0.62,0.46,0.97,0.46,0.63,0.75,0.64,0.67,
Regresja,8,0.89,0.83,0.86,0.22,0.36,0.27,0.35,0.53,0.42,0.97,0.37,0.53,0.72,0.61,0.63,
Regresja,9,0.93,0.78,0.85,0.26,0.29,0.27,0.36,0.69,0.48,0.84,0.49,0.62,0.72,0.63,0.66,
Regresja,10,0.93,0.73,0.81,0.19,0.22,0.2,0.4,0.66,0.5,0.7,0.59,0.64,0.69,0.62,0.64,
Regresja_logistyczna,1,0.89,0.83,0.86,0.22,0.29,0.25,0.32,0.4,0.35,0.89,0.64,0.75,0.7,0.64,0.66,
Regresja_logistyczna,2,0.97,0.72,0.83,0.21,0.33,0.26,0.36,0.57,0.44,0.88,0.67,0.76,0.74,0.63,0.67,
Regresja_logistyczna,3,0.98,0.77,0.86,0.23,0.33,0.27,0.36,0.47,0.4,0.8,0.74,0.77,0.73,0.65,0.68,
Regresja_logistyczna,4,0.95,0.75,0.84,0.16,0.18,0.17,0.37,0.57,0.45,0.77,0.74,0.75,0.7,0.64,0.66,
Regresja_logistyczna,5,0.99,0.62,0.77,0.19,0.24,0.21,0.38,0.66,0.48,0.7,0.72,0.71,0.71,0.6,0.63,
Regresja_logistyczna,6,0.98,0.65,0.78,0.2,0.27,0.23,0.38,0.6,0.46,0.68,0.7,0.69,0.7,0.6,0.63,
Regresja_logistyczna,7,0.95,0.66,0.78,0.22,0.42,0.29,0.29,0.4,0.33,0.75,0.61,0.67,0.7,0.57,0.61,
Regresja_logistyczna,8,0.96,0.67,0.79,0.17,0.29,0.22,0.31,0.38,0.34,0.71,0.76,0.73,0.69,0.59,0.62,
Regresja_logistyczna,9,0.95,0.68,0.79,0.19,0.24,0.22,0.29,0.41,0.34,0.69,0.75,0.72,0.67,0.59,0.62,
Regresja_logistyczna,10,0.96,0.65,0.78,0.17,0.27,0.21,0.28,0.38,0.32,0.7,0.74,0.72,0.68,0.57,0.61,
Regresja na klasach,1,0.0,0.0,0.0,0.95,0.63,0.76,0.22,0.53,0.32,0.36,0.53,0.43,1.0,0.45,0.62,0.76,0.56,0.61,
Regresja na klasach,2,0.96,0.69,0.8,0.17,0.31,0.22,0.38,0.71,0.49,1.0,0.47,0.64,0.77,0.59,0.64,
Regresja na klasach,3,0.95,0.54,0.69,0.15,0.33,0.21,0.36,0.66,0.46,0.71,0.38,0.5,0.69,0.49,0.54,
Regresja na klasach,4,0.95,0.46,0.62,0.17,0.42,0.24,0.4,0.62,0.49,0.84,0.62,0.71,0.72,0.52,0.57,
Regresja na klasach,5,0.98,0.51,0.67,0.19,0.56,0.28,0.42,0.4,0.41,0.8,0.7,0.75,0.73,0.54,0.59,
Regresja na klasach,6,0.89,0.45,0.59,0.16,0.58,0.25,0.46,0.36,0.4,0.96,0.62,0.75,0.73,0.49,0.55,
Regresja na klasach,7,0.87,0.75,0.8,0.22,0.62,0.33,0.22,0.29,0.25,0.0,0.0,0.0,0.47,0.48,0.46,
Regresja na klasach,8,0.83,0.54,0.66,0.15,0.47,0.22,0.35,0.33,0.34,0.97,0.49,0.65,0.69,0.48,0.54,
Regresja na klasach,9,0.85,0.61,0.71,0.13,0.36,0.2,0.36,0.26,0.3,0.79,0.64,0.71,0.66,0.52,0.57,
