Inside the function :  30
Outside the function :  30
[('max_depth', 6), ('booster', 'gblinear'), ('eta', 0.1), ('silent', 1), ('gamma', 1.0), ('objective', 'reg:linear'), ('eval_metric', 'rmse')]
[0]     train-rmse:36.8745      eval-rmse:49.2449
[09:10:42] 1080x898 matrix with 136418 entries loaded from E:/krzys/informatyka-studia/sem-16-2017L/msi2/proj/SmogDetector/SmogDetector.Python/data/data_reg2_train.txt
[09:10:42] 336x898 matrix with 42950 entries loaded from E:/krzys/informatyka-studia/sem-16-2017L/msi2/proj/SmogDetector/SmogDetector.Python/data/data_reg2_test.txt
Multiple eval metrics have been passed: 'eval-rmse' will be used for early stopping.

Will train until eval-rmse hasn't improved in 100 rounds.
[106]   train-rmse:22.0354      eval-rmse:28.9046
[107]   train-rmse:22.0282      eval-rmse:28.9063
[108]   train-rmse:22.0209      eval-rmse:28.905
[109]   train-rmse:22.0137      eval-rmse:28.9101
[110]   train-rmse:22.007       eval-rmse:28.9069
[111]   train-rmse:21.9998      eval-rmse:28.9145
[112]   train-rmse:21.9928      eval-rmse:28.9204
[113]   train-rmse:21.986       eval-rmse:28.9262
[114]   train-rmse:21.9791      eval-rmse:28.9312
[115]   train-rmse:21.9724      eval-rmse:28.939
[116]   train-rmse:21.9658      eval-rmse:28.9468
[117]   train-rmse:21.9592      eval-rmse:28.9449
[118]   train-rmse:21.953       eval-rmse:28.9454
[119]   train-rmse:21.9465      eval-rmse:28.9514
[120]   train-rmse:21.9401      eval-rmse:28.959
[121]   train-rmse:21.9338      eval-rmse:28.9631
[122]   train-rmse:21.928       eval-rmse:28.9609
[123]   train-rmse:21.922       eval-rmse:28.9533
[124]   train-rmse:21.9159      eval-rmse:28.9594
[125]   train-rmse:21.9097      eval-rmse:28.9674
[126]   train-rmse:21.904       eval-rmse:28.9659
[127]   train-rmse:21.8979      eval-rmse:28.9635
[128]   train-rmse:21.8922      eval-rmse:28.9644
[129]   train-rmse:21.8862      eval-rmse:28.975
[130]   train-rmse:21.8806      eval-rmse:28.9777
[131]   train-rmse:21.8747      eval-rmse:28.9905
