[09:38:20] 1080x898 matrix with 153075 entries loaded from E:/krzys/informatyka-studia/sem-16-2017L/msi2/proj/SmogDetector/SmogDetector.Python/data/data_reg3_train.txt
[('max_depth', 1), ('eta', 0.1), ('silent', 1), ('gamma', 1.0), ('objective', 'reg:linear'), ('eval_metric', 'rmse')]
[0]     train-rmse:66.8599      eval-rmse:65.7149
Multiple eval metrics have been passed: 'eval-rmse' will be used for early stopping.

Will train until eval-rmse hasn't improved in 100 rounds.
[108]   train-rmse:20.2944      eval-rmse:26.8417
[109]   train-rmse:20.255       eval-rmse:26.7526
[110]   train-rmse:20.2148      eval-rmse:26.7426
[111]   train-rmse:20.1748      eval-rmse:26.7194
[112]   train-rmse:20.136       eval-rmse:26.7173
[113]   train-rmse:20.0978      eval-rmse:26.6768
[114]   train-rmse:20.0608      eval-rmse:26.6166
[115]   train-rmse:20.0224      eval-rmse:26.5432
[116]   train-rmse:19.9832      eval-rmse:26.5501
[117]   train-rmse:19.9471      eval-rmse:26.4867
[118]   train-rmse:19.9096      eval-rmse:26.4114
[119]   train-rmse:19.8754      eval-rmse:26.4188
[120]   train-rmse:19.8406      eval-rmse:26.3725
[121]   train-rmse:19.8052      eval-rmse:26.377
[122]   train-rmse:19.7714      eval-rmse:26.4045
[123]   train-rmse:19.738       eval-rmse:26.3217
[124]   train-rmse:19.704       eval-rmse:26.3291
[125]   train-rmse:19.6716      eval-rmse:26.2747
[126]   train-rmse:19.638       eval-rmse:26.2369
[127]   train-rmse:19.6059      eval-rmse:26.1739
[128]   train-rmse:19.575       eval-rmse:26.1288
[129]   train-rmse:19.5438      eval-rmse:26.0744
[130]   train-rmse:19.5138      eval-rmse:26.072
[131]   train-rmse:19.4837      eval-rmse:26.0226
[132]   train-rmse:19.4538      eval-rmse:25.9802
[133]   train-rmse:19.4248      eval-rmse:25.9102
[134]   train-rmse:19.3947      eval-rmse:25.9629
[135]   train-rmse:19.3657      eval-rmse:25.9709
[136]   train-rmse:19.3364      eval-rmse:25.9002
[137]   train-rmse:19.3088      eval-rmse:25.9342
[138]   train-rmse:19.2806      eval-rmse:25.884
[139]   train-rmse:19.2525      eval-rmse:25.8916
[140]   train-rmse:19.2252      eval-rmse:25.8723
[141]   train-rmse:19.1988      eval-rmse:25.8777
[142]   train-rmse:19.1725      eval-rmse:25.8461
[143]   train-rmse:19.1462      eval-rmse:25.8036
[144]   train-rmse:19.1198      eval-rmse:25.7596
[145]   train-rmse:19.0934      eval-rmse:25.7121
[146]   train-rmse:19.0688      eval-rmse:25.7094
[147]   train-rmse:19.0443      eval-rmse:25.7072
[148]   train-rmse:19.0198      eval-rmse:25.7164
[149]   train-rmse:18.9951      eval-rmse:25.6617
[150]   train-rmse:18.9702      eval-rmse:25.6603
[151]   train-rmse:18.9458      eval-rmse:25.6019
[152]   train-rmse:18.9213      eval-rmse:25.563
[153]   train-rmse:18.8978      eval-rmse:25.5405
[154]   train-rmse:18.8744      eval-rmse:25.4909
[155]   train-rmse:18.8512      eval-rmse:25.5296
[156]   train-rmse:18.8285      eval-rmse:25.5264
[157]   train-rmse:18.8064      eval-rmse:25.5345
[158]   train-rmse:18.7839      eval-rmse:25.4809
[159]   train-rmse:18.761       eval-rmse:25.4669
[160]   train-rmse:18.7395      eval-rmse:25.4709
[161]   train-rmse:18.7179      eval-rmse:25.4388
[162]   train-rmse:18.696       eval-rmse:25.4107
[163]   train-rmse:18.6749      eval-rmse:25.395
[164]   train-rmse:18.6542      eval-rmse:25.3926
[165]   train-rmse:18.6329      eval-rmse:25.3949
[166]   train-rmse:18.6122      eval-rmse:25.3558
[167]   train-rmse:18.592       eval-rmse:25.3645
[168]   train-rmse:18.5718      eval-rmse:25.3358
[169]   train-rmse:18.5515      eval-rmse:25.3338
[170]   train-rmse:18.5319      eval-rmse:25.285
[171]   train-rmse:18.5108      eval-rmse:25.2735
[172]   train-rmse:18.4907      eval-rmse:25.2765
[173]   train-rmse:18.4715      eval-rmse:25.282
[174]   train-rmse:18.4519      eval-rmse:25.2298
[175]   train-rmse:18.4331      eval-rmse:25.2191
[176]   train-rmse:18.4134      eval-rmse:25.1708
[177]   train-rmse:18.3949      eval-rmse:25.2117
[178]   train-rmse:18.377       eval-rmse:25.1875
[179]   train-rmse:18.359       eval-rmse:25.1632
[180]   train-rmse:18.3399      eval-rmse:25.1659
[181]   train-rmse:18.3222      eval-rmse:25.1304
[182]   train-rmse:18.304       eval-rmse:25.0945
[183]   train-rmse:18.2866      eval-rmse:25.0455
[184]   train-rmse:18.2675      eval-rmse:25.0318
[185]   train-rmse:18.2501      eval-rmse:25.0224
[186]   train-rmse:18.2318      eval-rmse:24.9896
[187]   train-rmse:18.2144      eval-rmse:24.9872
[188]   train-rmse:18.1974      eval-rmse:24.9982
[189]   train-rmse:18.1804      eval-rmse:24.9955
[190]   train-rmse:18.1635      eval-rmse:24.9831
[191]   train-rmse:18.1462      eval-rmse:25.0207
[192]   train-rmse:18.1293      eval-rmse:24.9749
[193]   train-rmse:18.1125      eval-rmse:24.9504
[194]   train-rmse:18.0958      eval-rmse:24.9121
[195]   train-rmse:18.0798      eval-rmse:24.9337
[196]   train-rmse:18.0637      eval-rmse:24.9372
[197]   train-rmse:18.0467      eval-rmse:24.9145
[198]   train-rmse:18.0305      eval-rmse:24.8805
[199]   train-rmse:18.0149      eval-rmse:24.8787
[200]   train-rmse:17.9997      eval-rmse:24.8421
[201]   train-rmse:17.983       eval-rmse:24.8286
[202]   train-rmse:17.9677      eval-rmse:24.8356
[203]   train-rmse:17.9518      eval-rmse:24.8093
[204]   train-rmse:17.9368      eval-rmse:24.8115
[205]   train-rmse:17.922       eval-rmse:24.7652
[206]   train-rmse:17.9071      eval-rmse:24.852
[207]   train-rmse:17.8924      eval-rmse:24.8591
[208]   train-rmse:17.8775      eval-rmse:24.862
[209]   train-rmse:17.8623      eval-rmse:24.8605
[210]   train-rmse:17.8477      eval-rmse:24.8121
[211]   train-rmse:17.8336      eval-rmse:24.7999
[212]   train-rmse:17.8183      eval-rmse:24.7641
[213]   train-rmse:17.8042      eval-rmse:24.7341
[214]   train-rmse:17.7898      eval-rmse:24.7551
[215]   train-rmse:17.7758      eval-rmse:24.7535
[216]   train-rmse:17.7621      eval-rmse:24.739
[217]   train-rmse:17.7473      eval-rmse:24.699
[218]   train-rmse:17.7337      eval-rmse:24.7302
[219]   train-rmse:17.7201      eval-rmse:24.7063
[220]   train-rmse:17.7059      eval-rmse:24.6936
[221]   train-rmse:17.6922      eval-rmse:24.701
[222]   train-rmse:17.6787      eval-rmse:24.6771
[223]   train-rmse:17.6648      eval-rmse:24.6585
[224]   train-rmse:17.6515      eval-rmse:24.6466
[225]   train-rmse:17.6383      eval-rmse:24.6502
[226]   train-rmse:17.6255      eval-rmse:24.7317
[227]   train-rmse:17.6126      eval-rmse:24.7505
[228]   train-rmse:17.5992      eval-rmse:24.72
[229]   train-rmse:17.5865      eval-rmse:24.7219
[230]   train-rmse:17.5739      eval-rmse:24.6937
[231]   train-rmse:17.5609      eval-rmse:24.6632
[232]   train-rmse:17.5484      eval-rmse:24.6595
[233]   train-rmse:17.536       eval-rmse:24.6187
[234]   train-rmse:17.5236      eval-rmse:24.5996
[235]   train-rmse:17.5113      eval-rmse:24.5982
[236]   train-rmse:17.4987      eval-rmse:24.6331
[237]   train-rmse:17.4863      eval-rmse:24.6195
[238]   train-rmse:17.4742      eval-rmse:24.63
[239]   train-rmse:17.462       eval-rmse:24.627
[240]   train-rmse:17.4499      eval-rmse:24.6259
[241]   train-rmse:17.4379      eval-rmse:24.6163
[242]   train-rmse:17.4253      eval-rmse:24.6238
[243]   train-rmse:17.4135      eval-rmse:24.6033
[244]   train-rmse:17.4011      eval-rmse:24.5729
[245]   train-rmse:17.3895      eval-rmse:24.544
[246]   train-rmse:17.3781      eval-rmse:24.534
[247]   train-rmse:17.3662      eval-rmse:24.5
[248]   train-rmse:17.3546      eval-rmse:24.5776
[249]   train-rmse:17.343       eval-rmse:24.6041
[250]   train-rmse:17.3314      eval-rmse:24.6118
[251]   train-rmse:17.32        eval-rmse:24.5918
[252]   train-rmse:17.3087      eval-rmse:24.5817
[253]   train-rmse:17.2975      eval-rmse:24.5834
[254]   train-rmse:17.2862      eval-rmse:24.5683
[255]   train-rmse:17.2753      eval-rmse:24.5811
[256]   train-rmse:17.2642      eval-rmse:24.6012
[257]   train-rmse:17.2531      eval-rmse:24.5817
[258]   train-rmse:17.2424      eval-rmse:24.5803
[259]   train-rmse:17.2317      eval-rmse:24.5791
[260]   train-rmse:17.2212      eval-rmse:24.5544
[261]   train-rmse:17.2098      eval-rmse:24.5296
[262]   train-rmse:17.1994      eval-rmse:24.5029
[263]   train-rmse:17.1882      eval-rmse:24.4901
[264]   train-rmse:17.1775      eval-rmse:24.4612
[265]   train-rmse:17.1673      eval-rmse:24.4626
[266]   train-rmse:17.1567      eval-rmse:24.4483
[267]   train-rmse:17.1466      eval-rmse:24.445
[268]   train-rmse:17.1356      eval-rmse:24.426
[269]   train-rmse:17.1254      eval-rmse:24.4454
[270]   train-rmse:17.1152      eval-rmse:24.4151
[271]   train-rmse:17.1051      eval-rmse:24.4259
[272]   train-rmse:17.0951      eval-rmse:24.4325
[273]   train-rmse:17.0846      eval-rmse:24.4146
[274]   train-rmse:17.0746      eval-rmse:24.4883
[275]   train-rmse:17.0645      eval-rmse:24.4853
[276]   train-rmse:17.0547      eval-rmse:24.4577
[277]   train-rmse:17.0445      eval-rmse:24.4706
[278]   train-rmse:17.035       eval-rmse:24.4554
[279]   train-rmse:17.0254      eval-rmse:24.4204
[280]   train-rmse:17.0158      eval-rmse:24.428
[281]   train-rmse:17.0061      eval-rmse:24.4251
[282]   train-rmse:16.9965      eval-rmse:24.4001
[283]   train-rmse:16.987       eval-rmse:24.4015
[284]   train-rmse:16.9777      eval-rmse:24.4175
[285]   train-rmse:16.9682      eval-rmse:24.392
[286]   train-rmse:16.959       eval-rmse:24.3867
[287]   train-rmse:16.9498      eval-rmse:24.3667
[288]   train-rmse:16.9402      eval-rmse:24.3615
[289]   train-rmse:16.9308      eval-rmse:24.3384
[290]   train-rmse:16.9214      eval-rmse:24.314
[291]   train-rmse:16.9123      eval-rmse:24.3018
[292]   train-rmse:16.9034      eval-rmse:24.3121
[293]   train-rmse:16.8941      eval-rmse:24.278
[294]   train-rmse:16.885       eval-rmse:24.2682
[295]   train-rmse:16.8758      eval-rmse:24.2544
[296]   train-rmse:16.8669      eval-rmse:24.3246
[297]   train-rmse:16.8578      eval-rmse:24.3045
[298]   train-rmse:16.8487      eval-rmse:24.3224
[299]   train-rmse:16.8398      eval-rmse:24.3217
[300]   train-rmse:16.8312      eval-rmse:24.3202
[301]   train-rmse:16.8224      eval-rmse:24.3196
[302]   train-rmse:16.8136      eval-rmse:24.3297
[303]   train-rmse:16.8051      eval-rmse:24.3171
[304]   train-rmse:16.7964      eval-rmse:24.2977
[305]   train-rmse:16.7878      eval-rmse:24.293
[306]   train-rmse:16.7791      eval-rmse:24.2749
[307]   train-rmse:16.77        eval-rmse:24.283
[308]   train-rmse:16.7613      eval-rmse:24.2838
[309]   train-rmse:16.7527      eval-rmse:24.2786
[310]   train-rmse:16.7441      eval-rmse:24.2771
[311]   train-rmse:16.7351      eval-rmse:24.2687
[312]   train-rmse:16.7268      eval-rmse:24.2676
[313]   train-rmse:16.7186      eval-rmse:24.2421
[314]   train-rmse:16.7103      eval-rmse:24.2103
[315]   train-rmse:16.7019      eval-rmse:24.2061
[316]   train-rmse:16.6933      eval-rmse:24.2171
[317]   train-rmse:16.6853      eval-rmse:24.1839
[318]   train-rmse:16.6772      eval-rmse:24.1848
[319]   train-rmse:16.6693      eval-rmse:24.1714
